"/home/lukaszb/MP/1 wzgorze/ - NY" ; "/home/lukaszb/MP/1 wzgorze/ - NY phased data points" ; "/home/lukaszb/MP/1 wzgorze/ - NY points of the fit to the data" ; "/home/lukaszb/MP/1 wzgorze/ - NY background values" ; "/home/lukaszb/MP/2 szara pot/ - NY" ; "/home/lukaszb/MP/2 szara pot/ - NY phased data points" ; "/home/lukaszb/MP/2 szara pot/ - NY points of the fit to the data" ; "/home/lukaszb/MP/2 szara pot/ - NY background values" ; "/home/lukaszb/MP/3 szara cz/ - NY" ; "/home/lukaszb/MP/3 szara cz/ - NY phased data points" ; "/home/lukaszb/MP/3 szara cz/ - NY points of the fit to the data" ; "/home/lukaszb/MP/3 szara cz/ - NY background values" ; 
4,000000 ; 2,04582E+05 ; 3,43492E+05 ; 1,703E+05 ; 4,000000 ; 4,91144E+05 ; 4,71807E+05 ; 3,065E+05 ; 4,000000 ; 2,42708E+04 ; 2,13076E+05 ; -1,476E+03 ; 
3,992359 ; 1,73839E+05 ; 3,54980E+05 ; 1,814E+05 ; 3,992359 ; 3,41259E+05 ; 4,64061E+05 ; 3,071E+05 ; 3,992359 ; 8,59229E+04 ; 2,04995E+05 ; 3,559E+02 ; 
3,984717 ; 4,18381E+05 ; 3,81375E+05 ; 1,925E+05 ; 3,984717 ; 2,77499E+05 ; 4,67206E+05 ; 3,078E+05 ; 3,984717 ; 3,90167E+04 ; 2,12825E+05 ; 2,183E+03 ; 
3,977076 ; 3,31263E+05 ; 4,43413E+05 ; 2,035E+05 ; 3,977076 ; 4,40361E+05 ; 4,79112E+05 ; 3,084E+05 ; 3,977076 ; 1,11118E+05 ; 2,40834E+05 ; 3,994E+03 ; 
3,969435 ; 5,68128E+05 ; 5,55503E+05 ; 2,144E+05 ; 3,969435 ; 5,55173E+05 ; 5,38348E+05 ; 3,090E+05 ; 3,969435 ; 3,24859E+05 ; 3,19698E+05 ; 5,781E+03 ; 
3,961793 ; 7,46576E+05 ; 7,24614E+05 ; 2,251E+05 ; 3,961793 ; 6,14390E+05 ; 6,38246E+05 ; 3,095E+05 ; 3,961793 ; 5,02448E+05 ; 4,44144E+05 ; 7,533E+03 ; 
3,954152 ; 9,36808E+05 ; 9,65933E+05 ; 2,358E+05 ; 3,954152 ; 7,94068E+05 ; 7,83198E+05 ; 3,100E+05 ; 3,954152 ; 7,18693E+05 ; 6,14066E+05 ; 9,240E+03 ; 
3,946511 ; 1,23271E+06 ; 1,26360E+06 ; 2,463E+05 ; 3,946511 ; 1,00464E+06 ; 1,00379E+06 ; 3,105E+05 ; 3,946511 ; 1,01506E+06 ; 8,84785E+05 ; 1,089E+04 ; 
3,938869 ; 1,50380E+06 ; 1,54958E+06 ; 2,566E+05 ; 3,938869 ; 1,28868E+06 ; 1,29069E+06 ; 3,109E+05 ; 3,938869 ; 1,25515E+06 ; 1,25103E+06 ; 1,248E+04 ; 
3,931228 ; 1,69777E+06 ; 1,73198E+06 ; 2,667E+05 ; 3,931228 ; 1,50128E+06 ; 1,56763E+06 ; 3,111E+05 ; 3,931228 ; 1,39303E+06 ; 1,56211E+06 ; 1,399E+04 ; 
3,923587 ; 1,86160E+06 ; 1,75900E+06 ; 2,765E+05 ; 3,923587 ; 1,59462E+06 ; 1,70707E+06 ; 3,113E+05 ; 3,923587 ; 1,52328E+06 ; 1,66616E+06 ; 1,542E+04 ; 
3,915946 ; 1,72108E+06 ; 1,65372E+06 ; 2,862E+05 ; 3,915946 ; 1,76417E+06 ; 1,65957E+06 ; 3,114E+05 ; 3,915946 ; 1,59033E+06 ; 1,55090E+06 ; 1,675E+04 ; 
3,908304 ; 1,61962E+06 ; 1,48180E+06 ; 2,955E+05 ; 3,908304 ; 1,55304E+06 ; 1,47243E+06 ; 3,113E+05 ; 3,908304 ; 1,46987E+06 ; 1,31351E+06 ; 1,798E+04 ; 
